month,level_1,value
1986-01,Total,10990
1986-02,Total,10515
1986-03,Total,13279
1986-04,Total,13154
1986-05,Total,12897
1986-06,Total,11954
1986-07,Total,13314
1986-08,Total,13385
1986-09,Total,14313
1986-10,Total,15517
1986-11,Total,15702
1986-12,Total,15162
1987-01,Total,12721
1987-02,Total,13447
1987-03,Total,16481
1987-04,Total,15884
1987-05,Total,15874
1987-06,Total,15281
1987-07,Total,16579
1987-08,Total,16080
1987-09,Total,18113
1987-10,Total,18518
1987-11,Total,19049
1987-12,Total,18911
1988-01,Total,17143
1988-02,Total,17452
1988-03,Total,20715
1988-04,Total,21266
1988-05,Total,18871
1988-06,Total,20545
1988-07,Total,20734
1988-08,Total,20142
1988-09,Total,21905
1988-10,Total,23850
1988-11,Total,23219
1988-12,Total,23027
1989-01,Total,19974
1989-02,Total,19221
1989-03,Total,25170
1989-04,Total,24150
1989-05,Total,21890
1989-06,Total,22062
1989-07,Total,23099
1989-08,Total,23469
1989-09,Total,24936
1989-10,Total,25631
1989-11,Total,25778
1989-12,Total,25032
1990-01,Total,21071
1990-02,Total,20561
1990-03,Total,27329
1990-04,Total,23950
1990-05,Total,23589
1990-06,Total,25417
1990-07,Total,24389
1990-08,Total,24338
1990-09,Total,25781
1990-10,Total,27786
1990-11,Total,27681
1990-12,Total,27792
1991-01,Total,23450
1991-02,Total,22651
1991-03,Total,28623
1991-04,Total,23905
1991-05,Total,24619
1991-06,Total,24680
1991-07,Total,24459
1991-08,Total,23891
1991-09,Total,25272
1991-10,Total,26554
1991-11,Total,26889
1991-12,Total,25955
1992-01,Total,23759
1992-02,Total,21718
1992-03,Total,28301
1992-04,Total,24652
1992-05,Total,27084
1992-06,Total,26115
1992-07,Total,27663
1992-08,Total,27800
1992-09,Total,29767
1992-10,Total,32237
1992-11,Total,31827
1992-12,Total,31289
1993-01,Total,25856
1993-02,Total,27777
1993-03,Total,33848
1993-04,Total,31200
1993-05,Total,32430
1993-06,Total,31284
1993-07,Total,32866
1993-08,Total,32050
1993-09,Total,35466
1993-10,Total,37976
1993-11,Total,35940
1993-12,Total,37704
1994-01,Total,32246
1994-02,Total,31013
1994-03,Total,39815
1994-04,Total,37453
1994-05,Total,38993
1994-06,Total,40228
1994-07,Total,41443
1994-08,Total,40946
1994-09,Total,44012
1994-10,Total,46217
1994-11,Total,44003
1994-12,Total,44061
1995-01,Total,39089
1995-02,Total,36893
1995-03,Total,46471
1995-04,Total,45245
1995-05,Total,42175
1995-06,Total,45554
1995-07,Total,44502
1995-08,Total,42724
1995-09,Total,45958
1995-10,Total,46034
1995-11,Total,47414
1995-12,Total,45965
1996-01,Total,40706
1996-02,Total,38718
1996-03,Total,49841
1996-04,Total,44795
1996-05,Total,46929
1996-06,Total,47084
1996-07,Total,46084
1996-08,Total,47661
1996-09,Total,50053
1996-10,Total,52514
1996-11,Total,51728
1996-12,Total,52325
1997-01,Total,47867
1997-02,Total,42434
1997-03,Total,58424
1997-04,Total,53882
1997-05,Total,53601
1997-06,Total,53028
1997-07,Total,54200
1997-08,Total,54866
1997-09,Total,55024
1997-10,Total,57831
1997-11,Total,54666
1997-12,Total,53721
1998-01,Total,44972
1998-02,Total,44882
1998-03,Total,56654
1998-04,Total,50047
1998-05,Total,52224
1998-06,Total,51736
1998-07,Total,53920
1998-08,Total,52686
1998-09,Total,54820
1998-10,Total,57397
1998-11,Total,56682
1998-12,Total,56073
1999-01,Total,50555
1999-02,Total,49359
1999-03,Total,63144
1999-04,Total,57668
1999-05,Total,59282
1999-06,Total,59770
1999-07,Total,62013
1999-08,Total,61237
1999-09,Total,65879
1999-10,Total,71828
1999-11,Total,70494
1999-12,Total,72393
2000-01,Total,58605
2000-02,Total,60284
2000-03,Total,74920
2000-04,Total,69722
2000-05,Total,68421
2000-06,Total,69388
2000-07,Total,70222
2000-08,Total,72886
2000-09,Total,75013
2000-10,Total,74550
2000-11,Total,72061
2000-12,Total,68148
2001-01,Total,55215
2001-02,Total,60640
2001-03,Total,67855
2001-04,Total,57205
2001-05,Total,56802
2001-06,Total,58311
2001-07,Total,56742
2001-08,Total,61092
2001-09,Total,62342
2001-10,Total,63773
2001-11,Total,64355
2001-12,Total,62092
2002-01,Total,58006
2002-02,Total,54117
2002-03,Total,71461
2002-04,Total,65722
2002-05,Total,65056
2002-06,Total,70007
2002-07,Total,68547
2002-08,Total,68361
2002-09,Total,69217
2002-10,Total,73396
2002-11,Total,73283
2002-12,Total,66133
2003-01,Total,62219
2003-02,Total,56391
2003-03,Total,72176
2003-04,Total,65121
2003-05,Total,61393
2003-06,Total,62540
2003-07,Total,65386
2003-08,Total,66739
2003-09,Total,73314
2003-10,Total,77541
2003-11,Total,73512
2003-12,Total,72019
2004-01,Total,62993
2004-02,Total,68855
2004-03,Total,80568
2004-04,Total,72236
2004-05,Total,73776
2004-06,Total,77311
2004-07,Total,76094
2004-08,Total,74992
2004-09,Total,80111
2004-10,Total,81818
2004-11,Total,76238
2004-12,Total,79515
2005-01,Total,71969
2005-02,Total,63963
2005-03,Total,79814
2005-04,Total,75889
2005-05,Total,73501
2005-06,Total,76657
2005-07,Total,78533
2005-08,Total,78232
2005-09,Total,82825
2005-10,Total,89045
2005-11,Total,85211
2005-12,Total,85941
2006-01,Total,74081
2006-02,Total,71159
2006-03,Total,89912
2006-04,Total,78627
2006-05,Total,77115
2006-06,Total,77589
2006-07,Total,78286
2006-08,Total,77730
2006-09,Total,83467
2006-10,Total,81390
2006-11,Total,87191
2006-12,Total,81794
2007-01,Total,70950
2007-02,Total,67097
2007-03,Total,83772
2007-04,Total,76738
2007-05,Total,73708
2007-06,Total,74400
2007-07,Total,77631
2007-08,Total,79645
2007-09,Total,81562
2007-10,Total,80909
2007-11,Total,83826
2007-12,Total,80658
2008-01,Total,76042
2008-02,Total,68777
2008-03,Total,82482
2008-04,Total,78207
2008-05,Total,77384
2008-06,Total,76442
2008-07,Total,79197
2008-08,Total,79136
2008-09,Total,80569
2008-10,Total,73782
2008-11,Total,70500
2008-12,Total,62484
2009-01,Total,54814
2009-02,Total,53289
2009-03,Total,63514
2009-04,Total,61406
2009-05,Total,62850
2009-06,Total,62066
2009-07,Total,67941
